func,samples,boundsType,a,b,time,result
1,1024,6,10,15,25.875000,2.516060
2,1024,6,10,15,12.742000,3.141593
1,1024,2,10,150,17.661000,0.783186
2,1024,2,10,150,12.997000,0.785398
1,1024,4,10,150,19.142000,1.566372
2,1024,4,10,150,13.281000,1.570796
1,1024,6,10,150,17.244000,3.132743
2,1024,6,10,150,12.772000,3.141593
1,1024,2,10,1500,17.076000,0.785376
2,1024,2,10,1500,13.895000,0.769602
1,1024,4,10,1500,17.853000,1.570752
2,1024,4,10,1500,13.317000,1.539204
1,1024,6,10,1500,17.075000,3.141504
2,1024,6,10,1500,13.723000,1.214874
1,1024,1,100,15,18.061000,1.429960
2,1024,1,100,15,14.332000,0.785398
1,1024,2,100,15,18.077000,0.975391
2,1024,2,100,15,12.709000,0.785398
1,1024,3,100,15,17.725000,2.859921
2,1024,3,100,15,13.963000,1.570796
1,1024,4,100,15,17.092000,1.950781
2,1024,4,100,15,12.568000,1.570796
1,1024,5,100,15,17.257000,5.719842
2,1024,5,100,15,15.728000,3.141593
1,1024,6,100,15,19.843000,3.901563
2,1024,6,100,15,12.588000,3.141593
1,1024,2,100,150,17.443000,1.451003
2,1024,2,100,150,13.466000,0.785398
1,1024,4,100,150,23.289000,2.902006
2,1024,4,100,150,16.683000,1.570796
1,1024,6,100,150,18.128000,5.804012
2,1024,6,100,150,13.420000,3.141593
1,1024,2,100,1500,18.210000,1.470906
2,1024,2,100,1500,13.443000,0.769602
1,1024,4,100,1500,17.233000,2.941811
2,1024,4,100,1500,13.831000,1.539204
1,1024,6,100,1500,17.208000,5.883623
2,1024,6,100,1500,13.519000,1.214874
1,1024,1,1000,15,17.465000,1.556655
2,1024,1,1000,15,13.488000,0.785298
1,1024,2,1000,15,17.210000,0.982719
2,1024,2,1000,15,13.447000,0.785348
1,1024,3,1000,15,17.087000,3.113310
2,1024,3,1000,15,13.373000,1.334482
1,1024,4,1000,15,17.093000,1.965438
2,1024,4,1000,15,13.346000,1.334567
1,1024,5,1000,15,17.094000,6.226619
2,1024,5,1000,15,13.668000,2.267729
1,1024,6,1000,15,17.438000,3.930875
2,1024,6,1000,15,13.274000,2.669135
1,1024,2,1000,150,17.129000,1.503482
2,1024,2,1000,150,13.723000,0.785348
1,1024,4,1000,150,17.194000,3.006965
2,1024,4,1000,150,13.393000,1.334567
1,1024,6,1000,150,17.279000,6.013930
2,1024,6,1000,150,15.821000,2.669135
1,1024,2,1000,1500,25.023000,1.558778
2,1024,2,1000,1500,21.289000,0.769553
1,1024,4,1000,1500,25.266000,3.117556
2,1024,4,1000,1500,15.486000,1.307726
1,1024,6,1000,1500,17.400000,6.235113
2,1024,6,1000,1500,14.835000,1.032172
1,2048,1,10,15,69.678000,0.523599
2,2048,1,10,15,28.792000,0.785398
1,2048,2,10,15,70.839000,0.629015
2,2048,2,10,15,27.325000,0.785398
1,2048,3,10,15,69.304000,1.047198
2,2048,3,10,15,28.179000,1.570796
1,2048,4,10,15,69.114000,1.258030
2,2048,4,10,15,35.794000,1.570796
1,2048,5,10,15,70.117000,2.094395
2,2048,5,10,15,32.345000,3.141593
1,2048,6,10,15,70.249000,2.516059
2,2048,6,10,15,29.122000,3.141593
1,2048,2,10,150,71.102000,0.783186
2,2048,2,10,150,51.369000,0.785398
1,2048,4,10,150,68.947000,1.566372
2,2048,4,10,150,52.040000,1.570796
1,2048,6,10,150,68.959000,3.132743
2,2048,6,10,150,51.665000,3.141593
1,2048,2,10,1500,72.807000,0.785376
2,2048,2,10,1500,74.548000,0.785398
1,2048,4,10,1500,69.242000,1.570752
2,2048,4,10,1500,53.829000,1.570796
1,2048,6,10,1500,71.479000,3.141504
2,2048,6,10,1500,62.454000,3.078408
1,2048,1,100,15,100.636000,1.429960
2,2048,1,100,15,56.132000,0.785398
1,2048,2,100,15,68.934000,0.975391
2,2048,2,100,15,50.147000,0.785398
1,2048,3,100,15,68.592000,2.859921
2,2048,3,100,15,54.065000,1.570796
1,2048,4,100,15,68.849000,1.950781
2,2048,4,100,15,50.089000,1.570796
1,2048,5,100,15,68.763000,5.719842
2,2048,5,100,15,54.398000,3.141593
1,2048,6,100,15,70.822000,3.901562
2,2048,6,100,15,50.004000,3.141593
1,2048,2,100,150,68.876000,1.451003
2,2048,2,100,150,55.064000,0.785398
1,2048,4,100,150,68.768000,2.902006
2,2048,4,100,150,53.956000,1.570796
1,2048,6,100,150,73.154000,5.804012
2,2048,6,100,150,56.875000,3.141593
1,2048,2,100,1500,69.305000,1.470906
2,2048,2,100,1500,53.967000,0.785398
1,2048,4,100,1500,84.517000,2.941811
2,2048,4,100,1500,62.614000,1.570796
1,2048,6,100,1500,68.768000,5.883623
2,2048,6,100,1500,54.115000,3.078408
1,2048,1,1000,15,69.277000,1.556655
2,2048,1,1000,15,54.081000,0.785398
1,2048,2,1000,15,70.106000,0.982719
2,2048,2,1000,15,80.375000,0.785398
1,2048,3,1000,15,69.535000,3.113310
2,2048,3,1000,15,53.843000,1.570696
1,2048,4,1000,15,72.745000,1.965437
2,2048,4,1000,15,58.891000,1.570696
1,2048,5,1000,15,72.148000,6.226619
2,2048,5,1000,15,66.230000,3.141190
1,2048,6,1000,15,69.650000,3.930875
2,2048,6,1000,15,53.389000,3.141391
1,2048,2,1000,150,68.889000,1.503482
2,2048,2,1000,150,53.822000,0.785398
1,2048,4,1000,150,68.730000,3.006965
2,2048,4,1000,150,53.552000,1.570696
1,2048,6,1000,150,87.770000,6.013930
2,2048,6,1000,150,58.647000,3.141391
1,2048,2,1000,1500,69.008000,1.558778
2,2048,2,1000,1500,63.228000,0.785398
1,2048,4,1000,1500,83.028000,3.117556
2,2048,4,1000,1500,69.049000,1.570696
1,2048,6,1000,1500,98.560000,6.235113
2,2048,6,1000,1500,80.842000,3.078211
