func,samples,boundsType,a,b,time,result
1,1024,6,10,15,17.654000,2.516059
2,1024,6,10,15,6.860000,3.141593
1,1024,2,10,150,17.421000,0.783186
2,1024,2,10,150,12.888000,0.785398
1,1024,4,10,150,17.501000,1.566372
2,1024,4,10,150,12.943000,1.570796
1,1024,6,10,150,17.414000,3.132743
2,1024,6,10,150,12.916000,3.141593
1,1024,2,10,1500,18.486000,0.785376
2,1024,2,10,1500,13.671000,0.635369
1,1024,4,10,1500,18.592000,1.570752
2,1024,4,10,1500,20.529000,1.270738
1,1024,6,10,1500,26.068000,3.141412
2,1024,6,10,1500,20.550000,3.464417
1,1024,1,100,15,18.819000,1.429960
2,1024,1,100,15,13.447000,0.785398
1,1024,2,100,15,18.645000,0.975391
2,1024,2,100,15,12.678000,0.785398
1,1024,3,100,15,18.388000,2.859921
2,1024,3,100,15,13.812000,1.570796
1,1024,4,100,15,17.418000,1.950781
2,1024,4,100,15,12.691000,1.570796
1,1024,5,100,15,19.096000,5.719842
2,1024,5,100,15,14.879000,3.141593
1,1024,6,100,15,17.372000,3.901562
2,1024,6,100,15,12.610000,3.141593
1,1024,2,100,150,17.375000,1.451003
2,1024,2,100,150,13.720000,0.785398
1,1024,4,100,150,18.010000,2.902006
2,1024,4,100,150,13.693000,1.570796
1,1024,6,100,150,17.439000,5.804011
2,1024,6,100,150,13.879000,3.141593
1,1024,2,100,1500,17.411000,1.470906
2,1024,2,100,1500,18.279000,0.635369
1,1024,4,100,1500,21.912000,2.941811
2,1024,4,100,1500,15.352000,1.270738
1,1024,6,100,1500,18.147000,5.883531
2,1024,6,100,1500,20.159000,3.464417
1,1024,1,1000,15,25.871000,1.556655
2,1024,1,1000,15,20.892000,0.708693
1,1024,2,1000,15,19.392000,0.982719
2,1024,2,1000,15,13.770000,0.746060
1,1024,3,1000,15,17.465000,3.113309
2,1024,3,1000,15,13.456000,1.192800
1,1024,4,1000,15,17.410000,1.965437
2,1024,4,1000,15,13.792000,1.255694
1,1024,5,1000,15,17.593000,6.226618
2,1024,5,1000,15,13.472000,2.007601
1,1024,6,1000,15,17.455000,3.930874
2,1024,6,1000,15,14.043000,2.511387
1,1024,2,1000,150,17.594000,1.503482
2,1024,2,1000,150,13.423000,0.746060
1,1024,4,1000,150,18.860000,3.006965
2,1024,4,1000,150,13.666000,1.255694
1,1024,6,1000,150,17.661000,6.013929
2,1024,6,1000,150,13.474000,2.511387
1,1024,2,1000,1500,17.443000,1.558778
2,1024,2,1000,1500,13.411000,0.603546
1,1024,4,1000,1500,17.791000,3.117556
2,1024,4,1000,1500,13.462000,1.015827
1,1024,6,1000,1500,18.098000,6.235020
2,1024,6,1000,1500,13.427000,2.769453
1,2048,1,10,15,69.524000,0.523599
2,2048,1,10,15,27.823000,0.785398
1,2048,2,10,15,69.907000,0.629015
2,2048,2,10,15,27.403000,0.785398
1,2048,3,10,15,70.570000,1.047198
2,2048,3,10,15,27.810000,1.570796
1,2048,4,10,15,73.350000,1.258030
2,2048,4,10,15,27.623000,1.570796
1,2048,5,10,15,69.430000,2.094395
2,2048,5,10,15,27.790000,3.141593
1,2048,6,10,15,74.302000,2.516059
2,2048,6,10,15,27.376000,3.141593
1,2048,2,10,150,71.037000,0.783186
2,2048,2,10,150,54.510000,0.785398
1,2048,4,10,150,70.009000,1.566372
2,2048,4,10,150,60.581000,1.570796
1,2048,6,10,150,76.724000,3.132743
2,2048,6,10,150,52.542000,3.141593
1,2048,2,10,1500,79.543000,0.785376
2,2048,2,10,1500,55.548000,0.780133
1,2048,4,10,1500,70.027000,1.570752
2,2048,4,10,1500,71.159000,1.560266
1,2048,6,10,1500,89.082000,3.141504
2,2048,6,10,1500,66.529000,2.541476
1,2048,1,100,15,98.567000,1.429960
2,2048,1,100,15,63.814000,0.785398
1,2048,2,100,15,69.787000,0.975391
2,2048,2,100,15,50.338000,0.785398
1,2048,3,100,15,69.942000,2.859921
2,2048,3,100,15,71.417000,1.570796
1,2048,4,100,15,103.306000,1.950781
2,2048,4,100,15,52.230000,1.570796
1,2048,5,100,15,70.680000,5.719842
2,2048,5,100,15,54.268000,3.141593
1,2048,6,100,15,69.335000,3.901562
2,2048,6,100,15,51.835000,3.141593
1,2048,2,100,150,71.486000,1.451003
2,2048,2,100,150,55.334000,0.785398
1,2048,4,100,150,70.493000,2.902006
2,2048,4,100,150,53.981000,1.570796
1,2048,6,100,150,74.135000,5.804011
2,2048,6,100,150,53.821000,3.141593
1,2048,2,100,1500,70.006000,1.470906
2,2048,2,100,1500,54.565000,0.780133
1,2048,4,100,1500,69.606000,2.941811
2,2048,4,100,1500,55.528000,1.560266
1,2048,6,100,1500,70.642000,5.883623
2,2048,6,100,1500,54.549000,2.541476
1,2048,1,1000,15,69.899000,1.556655
2,2048,1,1000,15,63.759000,0.785365
1,2048,2,1000,15,103.372000,0.982719
2,2048,2,1000,15,72.272000,0.785381
1,2048,3,1000,15,102.392000,3.113310
2,2048,3,1000,15,75.432000,1.492089
1,2048,4,1000,15,100.107000,1.965437
2,2048,4,1000,15,58.959000,1.492120
1,2048,5,1000,15,70.145000,6.226619
2,2048,5,1000,15,53.904000,2.834770
1,2048,6,1000,15,69.630000,3.930875
2,2048,6,1000,15,53.763000,2.984241
1,2048,2,1000,150,70.950000,1.503482
2,2048,2,1000,150,54.327000,0.785381
1,2048,4,1000,150,69.922000,3.006965
2,2048,4,1000,150,55.169000,1.492120
1,2048,6,1000,150,70.528000,6.013930
2,2048,6,1000,150,54.099000,2.984241
1,2048,2,1000,1500,72.207000,1.558778
2,2048,2,1000,1500,53.850000,0.780116
1,2048,4,1000,1500,70.822000,3.117556
2,2048,4,1000,1500,56.116000,1.482117
1,2048,6,1000,1500,73.802000,6.235113
2,2048,6,1000,1500,54.220000,2.414182
