func,samples,boundsType,a,b,time,result
2,512,2,10,1500,4.577000,320.969087
1,512,3,10,1500,4.396000,0.818597
2,512,3,10,1500,3.518000,5.173403
1,512,4,10,1500,4.375000,26.378490
2,512,4,10,1500,3.946000,239.395830
1,512,5,10,1500,3.427000,1.374655
2,512,5,10,1500,2.791000,3.962030
1,512,6,10,1500,3.522000,8.636607
2,512,6,10,1500,3.792000,54.310255
1,512,1,100,15,3.477000,8.156219
2,512,1,100,15,3.767000,287.540266
1,512,2,100,15,3.423000,2.500951
2,512,2,100,15,3.733000,63.832783
1,512,3,100,15,3.693000,5.866544
2,512,3,100,15,3.790000,101.189398
1,512,4,100,15,3.576000,1.833135
2,512,4,100,15,3.844000,25.077809
1,512,5,100,15,3.432000,4.646835
2,512,5,100,15,4.099000,29.290535
1,512,6,100,15,3.819000,2.695283
2,512,6,100,15,3.879000,15.988669
1,512,1,100,150,3.418000,8.247661
2,512,1,100,150,3.770000,287.645538
1,512,2,100,150,3.675000,11.268474
2,512,2,100,150,3.880000,376.593814
1,512,3,100,150,3.425000,5.800293
2,512,3,100,150,3.798000,103.985821
1,512,4,100,150,3.424000,7.792391
2,512,4,100,150,3.768000,126.379624
1,512,5,100,150,3.731000,4.630616
2,512,5,100,150,4.039000,30.558991
1,512,6,100,150,3.429000,5.282953
2,512,6,100,150,3.757000,43.782749
1,512,1,100,1500,3.424000,8.278992
2,512,1,100,1500,3.954000,295.492556
1,512,2,100,1500,3.421000,66.792909
2,512,2,100,1500,3.778000,1849.598632
1,512,3,100,1500,3.431000,5.972006
2,512,3,100,1500,3.767000,101.144306
1,512,4,100,1500,3.508000,46.216028
2,512,4,100,1500,3.839000,784.886337
1,512,5,100,1500,3.505000,4.378584
2,512,5,100,1500,3.773000,33.121145
1,512,6,100,1500,3.420000,16.701409
2,512,6,100,1500,3.787000,181.809422
1,512,1,1000,15,3.478000,293.981730
2,512,1,1000,15,3.800000,7383.380821
1,512,2,1000,15,3.882000,15.118943
2,512,2,1000,15,3.974000,334.372381
1,512,3,1000,15,3.429000,107.540821
2,512,3,1000,15,3.768000,1303.814917
1,512,4,1000,15,3.424000,5.470012
2,512,4,1000,15,3.748000,73.310202
1,512,5,1000,15,3.573000,31.557197
2,512,5,1000,15,3.806000,139.248881
1,512,6,1000,15,3.407000,7.896665
2,512,6,1000,15,3.767000,53.123451
1,512,1,1000,150,3.699000,292.507226
2,512,1,1000,150,3.787000,7810.219758
1,512,2,1000,150,3.432000,66.594303
2,512,2,1000,150,3.771000,2101.833204
1,512,3,1000,150,3.517000,104.840055
2,512,3,1000,150,3.800000,1663.049220
1,512,4,1000,150,3.418000,24.057471
2,512,4,1000,150,3.780000,388.969936
1,512,5,1000,150,3.418000,31.957043
2,512,5,1000,150,3.738000,255.936328
1,512,6,1000,150,3.410000,17.209591
2,512,6,1000,150,3.797000,165.457845
1,512,1,1000,1500,3.552000,304.318344
2,512,1,1000,1500,3.832000,7913.083442
1,512,2,1000,1500,3.428000,383.585003
2,512,2,1000,1500,3.770000,10119.896295
1,512,3,1000,1500,3.430000,108.389198
2,512,3,1000,1500,3.840000,1681.332602
1,512,4,1000,1500,3.420000,140.224852
2,512,4,1000,1500,3.749000,2112.542262
1,512,5,1000,1500,3.407000,39.263570
2,512,5,1000,1500,3.805000,281.432898
1,512,6,1000,1500,3.417000,46.948810
2,512,6,1000,1500,3.756000,486.533855
1,1024,1,10,15,6.852000,0.498050
2,1024,1,10,15,5.594000,8.773278
1,1024,2,10,15,7.221000,0.618672
2,1024,2,10,15,5.604000,12.168958
1,1024,3,10,15,6.930000,0.801367
2,1024,3,10,15,5.910000,5.237319
1,1024,4,10,15,6.905000,1.005623
2,1024,4,10,15,5.607000,7.413395
1,1024,5,10,15,7.112000,1.316713
2,1024,5,10,15,5.668000,3.129516
1,1024,6,10,15,6.852000,1.428717
2,1024,6,10,15,5.615000,3.847518
1,1024,1,10,150,7.225000,0.501281
2,1024,1,10,150,5.619000,8.722769
1,1024,2,10,150,6.856000,2.895202
2,1024,2,10,150,7.726000,80.255182
1,1024,3,10,150,6.840000,0.801331
2,1024,3,10,150,6.090000,5.038905
1,1024,4,10,150,7.195000,4.600713
2,1024,4,10,150,7.461000,48.156148
1,1024,5,10,150,8.088000,1.314502
2,1024,5,10,150,5.645000,3.030328
1,1024,6,10,150,8.265000,2.593058
2,1024,6,10,150,9.136000,11.022313
1,1024,1,10,1500,8.604000,0.498739
2,1024,1,10,1500,7.020000,8.833555
1,1024,2,10,1500,8.800000,19.119789
2,1024,2,10,1500,9.219000,471.177662
1,1024,3,10,1500,8.759000,0.799952
2,1024,3,10,1500,6.925000,5.245277
1,1024,4,10,1500,8.727000,29.691779
2,1024,4,10,1500,7.827000,282.986264
1,1024,5,10,1500,7.284000,1.312795
2,1024,5,10,1500,5.666000,3.101253
1,1024,6,10,1500,7.091000,8.298930
2,1024,6,10,1500,7.553000,36.324539
1,1024,1,100,15,7.596000,8.983357
2,1024,1,100,15,7.525000,367.601197
1,1024,2,100,15,6.981000,2.630780
2,1024,2,100,15,8.183000,79.967336
1,1024,3,100,15,6.885000,5.881176
2,1024,3,100,15,7.558000,105.689091
1,1024,4,100,15,7.362000,1.710012
2,1024,4,100,15,9.266000,22.174697
1,1024,5,100,15,8.750000,3.844661
2,1024,5,100,15,9.282000,29.655979
1,1024,6,100,15,8.099000,2.368443
2,1024,6,100,15,7.575000,11.467076
1,1024,1,100,150,6.893000,8.966850
2,1024,1,100,150,7.499000,368.978162
1,1024,2,100,150,6.932000,12.617560
2,1024,2,100,150,7.468000,514.673075
1,1024,3,100,150,6.828000,5.768136
2,1024,3,100,150,7.536000,104.482814
1,1024,4,100,150,6.869000,7.817093
2,1024,4,100,150,7.541000,140.934478
1,1024,5,100,150,6.842000,3.908892
2,1024,5,100,150,7.597000,36.297845
1,1024,6,100,150,7.383000,4.540414
2,1024,6,100,150,7.541000,37.128760
1,1024,1,100,1500,6.857000,8.912905
2,1024,1,100,1500,7.525000,373.256940
1,1024,2,100,1500,6.824000,82.625991
2,1024,2,100,1500,8.744000,3092.348187
1,1024,3,100,1500,8.637000,5.758084
2,1024,3,100,1500,7.781000,101.545715
1,1024,4,100,1500,6.827000,50.977154
2,1024,4,100,1500,7.568000,732.454178
1,1024,5,100,1500,6.884000,3.860026
2,1024,5,100,1500,7.606000,27.795529
1,1024,6,100,1500,7.102000,13.400807
2,1024,6,100,1500,7.581000,102.359922
1,1024,1,1000,15,6.943000,375.239088
2,1024,1,1000,15,7.627000,14068.500664
1,1024,2,1000,15,7.708000,16.920206
2,1024,2,1000,15,7.481000,494.391439
1,1024,3,1000,15,6.857000,107.306122
2,1024,3,1000,15,7.579000,1885.628800
1,1024,4,1000,15,7.110000,5.152861
2,1024,4,1000,15,7.941000,62.526112
1,1024,5,1000,15,6.863000,34.576078
2,1024,5,1000,15,7.554000,215.849229
1,1024,6,1000,15,6.898000,7.299610
2,1024,6,1000,15,7.622000,43.412589
1,1024,1,1000,150,7.881000,380.388976
2,1024,1,1000,150,7.752000,13817.498425
1,1024,2,1000,150,6.901000,81.571776
2,1024,2,1000,150,7.518000,3162.549187
1,1024,3,1000,150,6.854000,105.076664
2,1024,3,1000,150,7.563000,2318.875628
1,1024,4,1000,150,6.848000,24.597051
2,1024,4,1000,150,7.566000,446.743529
1,1024,5,1000,150,8.164000,33.118924
2,1024,5,1000,150,9.195000,191.245127
1,1024,6,1000,150,8.825000,13.075450
2,1024,6,1000,150,9.256000,126.650087
1,1024,1,1000,1500,8.457000,388.825655
2,1024,1,1000,1500,7.649000,14531.235906
1,1024,2,1000,1500,8.082000,519.649963
