func,samples,boundsType,a,b,time,result
2,512,4,1000,150,2.575000,0.001980
1,512,6,1000,150,2.020000,6.057774
2,512,6,1000,150,2.597000,0.002005
1,512,2,1000,1500,2.021000,1.684120
2,512,2,1000,1500,2.617000,0.003616
1,512,4,1000,1500,2.013000,2.456391
2,512,4,1000,1500,2.589000,0.000000
1,512,6,1000,1500,2.068000,5.338443
2,512,6,1000,1500,2.589000,0.000000
1,1024,1,10,15,4.036000,0.519617
2,1024,1,10,15,2.749000,1.582130
1,1024,2,10,15,4.030000,0.625577
2,1024,2,10,15,2.750000,1.639247
1,1024,3,10,15,4.028000,1.020223
2,1024,3,10,15,2.759000,2.190430
1,1024,4,10,15,4.025000,1.232797
2,1024,4,10,15,2.789000,2.210263
1,1024,5,10,15,4.043000,2.000928
2,1024,5,10,15,2.772000,2.798612
1,1024,6,10,15,4.039000,2.412020
2,1024,6,10,15,2.775000,2.969319
1,1024,2,10,150,4.027000,0.817748
2,1024,2,10,150,5.471000,1.673259
1,1024,4,10,150,4.046000,1.595704
2,1024,4,10,150,5.241000,2.274181
1,1024,6,10,150,4.035000,3.071137
2,1024,6,10,150,5.322000,3.161946
1,1024,2,10,1500,4.201000,0.813139
2,1024,2,10,1500,5.341000,1.856132
1,1024,4,10,1500,4.026000,1.582314
2,1024,4,10,1500,5.910000,1.685061
1,1024,6,10,1500,4.812000,3.208635
2,1024,6,10,1500,5.521000,2.270727
1,1024,1,100,15,4.061000,1.518394
2,1024,1,100,15,5.261000,2.598734
1,1024,2,100,15,4.032000,1.010659
2,1024,2,100,15,5.429000,1.910357
1,1024,3,100,15,4.506000,2.890302
2,1024,3,100,15,5.505000,2.889386
1,1024,4,100,15,4.031000,1.924876
2,1024,4,100,15,5.278000,2.283332
1,1024,5,100,15,4.442000,5.712862
2,1024,5,100,15,5.714000,2.840274
1,1024,6,100,15,4.042000,3.897579
2,1024,6,100,15,5.280000,2.927026
1,1024,2,100,150,4.903000,1.525730
2,1024,2,100,150,5.966000,1.227256
1,1024,4,100,150,4.151000,2.926491
2,1024,4,100,150,5.402000,3.385994
1,1024,6,100,150,4.409000,5.663419
2,1024,6,100,150,5.203000,2.914831
1,1024,2,100,1500,4.075000,1.459116
2,1024,2,100,1500,5.160000,2.273163
1,1024,4,100,1500,4.772000,3.165524
2,1024,4,100,1500,5.147000,3.062907
1,1024,6,100,1500,4.032000,5.621616
2,1024,6,100,1500,5.169000,0.227498
1,1024,1,1000,15,4.045000,1.531957
2,1024,1,1000,15,5.217000,0.000000
1,1024,2,1000,15,4.032000,0.997340
2,1024,2,1000,15,5.169000,1.388397
1,1024,3,1000,15,4.041000,2.710694
2,1024,3,1000,15,5.177000,9.829300
1,1024,4,1000,15,4.039000,2.008799
2,1024,4,1000,15,5.437000,3.216844
1,1024,5,1000,15,4.043000,6.077671
2,1024,5,1000,15,5.177000,0.000088
1,1024,6,1000,15,4.056000,3.775090
2,1024,6,1000,15,5.294000,3.624850
1,1024,2,1000,150,4.026000,1.614572
2,1024,2,1000,150,5.160000,0.685456
1,1024,4,1000,150,4.028000,3.134387
2,1024,4,1000,150,5.159000,0.039614
1,1024,6,1000,150,4.083000,6.525982
2,1024,6,1000,150,5.238000,0.043514
1,1024,2,1000,1500,4.047000,2.225097
2,1024,2,1000,1500,5.232000,0.000000
1,1024,4,1000,1500,4.029000,2.930811
2,1024,4,1000,1500,5.163000,0.000003
1,1024,6,1000,1500,4.738000,6.834938
2,1024,6,1000,1500,5.603000,0.000000
1,2048,1,10,15,8.071000,0.517870
2,2048,1,10,15,5.558000,1.608329
1,2048,2,10,15,8.466000,0.625696
2,2048,2,10,15,5.569000,1.627115
1,2048,3,10,15,8.924000,1.018494
2,2048,3,10,15,5.813000,2.173850
1,2048,4,10,15,9.249000,1.234497
2,2048,4,10,15,5.526000,2.201677
1,2048,5,10,15,8.154000,2.005906
2,2048,5,10,15,5.558000,2.888327
1,2048,6,10,15,8.800000,2.417790
2,2048,6,10,15,5.767000,2.957298
1,2048,2,10,150,8.093000,0.807571
2,2048,2,10,150,10.631000,1.758935
1,2048,4,10,150,8.114000,1.587436
2,2048,4,10,150,10.770000,2.065801
1,2048,6,10,150,8.075000,3.091722
2,2048,6,10,150,10.553000,2.903482
1,2048,2,10,1500,8.070000,0.826937
2,2048,2,10,1500,10.312000,1.540618
1,2048,4,10,1500,8.082000,1.597585
2,2048,4,10,1500,10.999000,2.653898
1,2048,6,10,1500,8.081000,3.037065
2,2048,6,10,1500,10.564000,3.480624
1,2048,1,100,15,8.189000,1.491403
2,2048,1,100,15,10.669000,1.993414
1,2048,2,100,15,8.074000,1.003726
2,2048,2,100,15,10.564000,1.950932
1,2048,3,100,15,8.253000,2.928876
2,2048,3,100,15,10.489000,2.569848
1,2048,4,100,15,8.100000,1.927336
2,2048,4,100,15,12.762000,2.422466
1,2048,5,100,15,12.701000,5.646701
2,2048,5,100,15,13.126000,2.627476
1,2048,6,100,15,12.942000,3.795305
2,2048,6,100,15,13.309000,3.105987
1,2048,2,100,150,12.799000,1.528758
2,2048,2,100,150,12.237000,2.137586
1,2048,4,100,150,9.470000,2.947647
2,2048,4,100,150,10.721000,2.996509
1,2048,6,100,150,8.478000,5.783881
2,2048,6,100,150,10.651000,1.733452
1,2048,2,100,1500,8.511000,1.559849
2,2048,2,100,1500,10.328000,2.214507
1,2048,4,100,1500,11.362000,3.019577
2,2048,4,100,1500,13.104000,1.217551
1,2048,6,100,1500,9.252000,5.827772
2,2048,6,100,1500,10.423000,7.792008
1,2048,1,1000,15,8.151000,1.703165
2,2048,1,1000,15,10.674000,4.883416
1,2048,2,1000,15,12.818000,1.002328
2,2048,2,1000,15,10.636000,1.789627
1,2048,3,1000,15,8.103000,2.933902
2,2048,3,1000,15,10.987000,0.000001
1,2048,4,1000,15,8.480000,1.946890
2,2048,4,1000,15,10.403000,2.435166
1,2048,5,1000,15,9.068000,6.772474
2,2048,5,1000,15,10.445000,0.131645
1,2048,6,1000,15,8.076000,3.887676
2,2048,6,1000,15,10.350000,3.099028
1,2048,2,1000,150,8.079000,1.559634
2,2048,2,1000,150,11.164000,2.346789
1,2048,4,1000,150,9.615000,3.170117
2,2048,4,1000,150,10.357000,1.550121
1,2048,6,1000,150,8.485000,5.936225
2,2048,6,1000,150,10.338000,4.505137
1,2048,2,1000,1500,8.153000,1.839428
2,2048,2,1000,1500,10.451000,12.762445
1,2048,4,1000,1500,8.089000,3.350336
2,2048,4,1000,1500,10.359000,14.653352
1,2048,6,1000,1500,8.083000,5.968946
2,2048,6,1000,1500,10.346000,0.550035
