func,samples,boundsType,a,b,time,result
1,512,6,100,15,4.342000,3.901559
2,512,6,100,15,3.214000,3.141593
1,512,1,100,150,4.355000,1.429960
2,512,1,100,150,3.373000,0.785398
1,512,2,100,150,4.728000,1.451003
2,512,2,100,150,3.394000,0.785398
1,512,3,100,150,4.760000,2.859920
2,512,3,100,150,3.397000,1.570796
1,512,4,100,150,4.711000,2.902005
2,512,4,100,150,3.390000,1.570796
1,512,5,100,150,4.359000,5.719840
2,512,5,100,150,3.366000,3.141593
1,512,6,100,150,4.527000,5.804010
2,512,6,100,150,3.382000,3.141593
1,512,1,100,1500,4.791000,1.429960
2,512,1,100,1500,3.384000,0.785398
1,512,2,100,1500,5.218000,1.470906
2,512,2,100,1500,3.374000,1.298670
1,512,3,100,1500,4.391000,2.859920
2,512,3,100,1500,3.347000,1.570796
1,512,4,100,1500,4.473000,2.941811
2,512,4,100,1500,3.369000,2.597340
1,512,5,100,1500,5.018000,5.719840
2,512,5,100,1500,3.423000,3.141593
1,512,6,100,1500,4.361000,5.883899
2,512,6,100,1500,3.372000,10.385472
1,512,1,1000,15,4.359000,1.556655
2,512,1,1000,15,3.388000,1.039622
1,512,2,1000,15,4.321000,0.982719
2,512,2,1000,15,3.378000,0.903613
1,512,3,1000,15,4.448000,3.113310
2,512,3,1000,15,3.361000,3.982886
1,512,4,1000,15,4.343000,1.965438
2,512,4,1000,15,3.352000,3.461826
1,512,5,1000,15,4.370000,6.226622
2,512,5,1000,15,3.372000,15.258803
1,512,6,1000,15,4.738000,3.930873
2,512,6,1000,15,4.451000,6.923651
1,512,1,1000,150,4.359000,1.556655
2,512,1,1000,150,3.367000,1.039622
1,512,2,1000,150,4.369000,1.503482
2,512,2,1000,150,3.452000,0.903613
1,512,3,1000,150,4.365000,3.113310
2,512,3,1000,150,3.374000,3.982886
1,512,4,1000,150,5.081000,3.006965
2,512,4,1000,150,4.156000,3.461826
1,512,5,1000,150,4.363000,6.226622
2,512,5,1000,150,3.374000,15.258803
1,512,6,1000,150,4.347000,6.013930
2,512,6,1000,150,3.402000,6.923651
1,512,1,1000,1500,4.361000,1.556655
2,512,1,1000,1500,3.420000,1.039622
1,512,2,1000,1500,4.807000,1.558778
2,512,2,1000,1500,4.306000,1.494141
1,512,3,1000,1500,4.393000,3.113310
2,512,3,1000,1500,3.370000,3.982886
1,512,4,1000,1500,4.829000,3.117557
2,512,4,1000,1500,3.373000,5.724192
1,512,5,1000,1500,4.713000,6.226622
2,512,5,1000,1500,3.380000,15.258803
1,512,6,1000,1500,4.371000,6.235391
2,512,6,1000,1500,3.391000,22.888194
1,1024,1,10,15,19.409000,0.523599
2,1024,1,10,15,6.948000,0.785398
1,1024,2,10,15,17.417000,0.629015
2,1024,2,10,15,7.027000,0.785398
1,1024,3,10,15,17.320000,1.047197
2,1024,3,10,15,7.000000,1.570796
1,1024,4,10,15,17.985000,1.258029
2,1024,4,10,15,7.734000,1.570796
1,1024,5,10,15,17.563000,2.094394
2,1024,5,10,15,6.884000,3.141593
1,1024,6,10,15,22.895000,2.516058
2,1024,6,10,15,8.424000,3.141593
1,1024,1,10,150,23.619000,0.523599
2,1024,1,10,150,12.292000,0.785398
1,1024,2,10,150,26.004000,0.783186
2,1024,2,10,150,19.301000,0.785398
1,1024,3,10,150,19.021000,1.047197
2,1024,3,10,150,6.858000,1.570796
1,1024,4,10,150,17.747000,1.566371
2,1024,4,10,150,12.805000,1.570796
1,1024,5,10,150,18.340000,2.094394
2,1024,5,10,150,6.989000,3.141593
1,1024,6,10,150,17.479000,3.132742
2,1024,6,10,150,12.947000,3.141593
1,1024,1,10,1500,17.365000,0.523599
2,1024,1,10,1500,7.410000,0.785398
1,1024,2,10,1500,17.849000,0.785376
2,1024,2,10,1500,13.689000,0.801194
1,1024,3,10,1500,18.599000,1.047197
2,1024,3,10,1500,7.844000,1.570796
1,1024,4,10,1500,17.774000,1.570752
2,1024,4,10,1500,17.546000,1.602389
1,1024,5,10,1500,23.743000,2.094394
2,1024,5,10,1500,7.820000,3.141593
1,1024,6,10,1500,17.503000,3.141503
2,1024,6,10,1500,13.382000,5.194681
1,1024,1,100,15,17.526000,1.429960
2,1024,1,100,15,15.728000,0.785398
1,1024,2,100,15,19.158000,0.975390
2,1024,2,100,15,12.839000,0.785398
1,1024,3,100,15,17.474000,2.859921
2,1024,3,100,15,13.495000,1.570796
1,1024,4,100,15,17.349000,1.950781
2,1024,4,100,15,12.633000,1.570796
1,1024,5,100,15,17.430000,5.719841
2,1024,5,100,15,13.446000,3.141593
1,1024,6,100,15,17.520000,3.901561
2,1024,6,100,15,12.721000,3.141593
1,1024,1,100,150,19.191000,1.429960
2,1024,1,100,150,20.489000,0.785398
1,1024,2,100,150,25.791000,1.451003
2,1024,2,100,150,20.359000,0.785398
1,1024,3,100,150,23.852000,2.859921
2,1024,3,100,150,16.054000,1.570796
1,1024,4,100,150,17.424000,2.902006
2,1024,4,100,150,13.544000,1.570796
1,1024,5,100,150,25.341000,5.719841
2,1024,5,100,150,20.763000,3.141593
1,1024,6,100,150,25.997000,5.804011
2,1024,6,100,150,20.126000,3.141593
1,1024,1,100,1500,19.485000,1.429960
2,1024,1,100,1500,13.492000,0.785398
1,1024,2,100,1500,17.487000,1.470906
2,1024,2,100,1500,13.458000,0.801194
1,1024,3,100,1500,17.514000,2.859921
2,1024,3,100,1500,13.536000,1.570796
1,1024,4,100,1500,23.407000,2.941811
2,1024,4,100,1500,20.411000,1.602389
1,1024,5,100,1500,26.035000,5.719841
2,1024,5,100,1500,20.101000,3.141593
1,1024,6,100,1500,19.129000,5.883623
2,1024,6,100,1500,14.864000,5.194681
1,1024,1,1000,15,17.544000,1.556655
2,1024,1,1000,15,13.499000,0.785499
1,1024,2,1000,15,17.402000,0.982719
2,1024,2,1000,15,13.346000,0.785448
1,1024,3,1000,15,17.681000,3.113310
2,1024,3,1000,15,14.788000,1.807342
1,1024,4,1000,15,17.358000,1.965437
2,1024,4,1000,15,13.364000,1.807227
1,1024,5,1000,15,18.029000,6.226619
2,1024,5,1000,15,14.353000,4.158487
1,1024,6,1000,15,17.507000,3.930874
2,1024,6,1000,15,13.461000,3.614453
1,1024,1,1000,150,17.477000,1.556655
2,1024,1,1000,150,13.459000,0.785499
1,1024,2,1000,150,17.363000,1.503482
2,1024,2,1000,150,13.573000,0.785448
1,1024,3,1000,150,19.819000,3.113310
2,1024,3,1000,150,14.687000,1.807342
1,1024,4,1000,150,17.338000,3.006965
2,1024,4,1000,150,13.477000,1.807227
1,1024,5,1000,150,17.551000,6.226619
2,1024,5,1000,150,13.823000,4.158487
1,1024,6,1000,150,17.688000,6.013929
2,1024,6,1000,150,13.681000,3.614453
1,1024,1,1000,1500,17.370000,1.556655
2,1024,1,1000,1500,13.549000,0.785499
1,1024,2,1000,1500,17.450000,1.558778
2,1024,2,1000,1500,13.463000,0.801246
1,1024,3,1000,1500,18.360000,3.113310
2,1024,3,1000,1500,13.690000,1.807342
1,1024,4,1000,1500,17.668000,3.117556
2,1024,4,1000,1500,13.529000,1.843574
1,1024,5,1000,1500,17.472000,6.226619
2,1024,5,1000,1500,13.507000,4.158487
1,1024,6,1000,1500,19.195000,6.235113
2,1024,6,1000,1500,13.608000,5.976564
1,2048,1,10,15,71.829000,0.523599
2,2048,1,10,15,27.778000,0.785398
1,2048,2,10,15,74.821000,0.629015
2,2048,2,10,15,39.990000,0.785398
1,2048,3,10,15,90.185000,1.047197
2,2048,3,10,15,27.491000,1.570796
1,2048,4,10,15,77.094000,1.258030
2,2048,4,10,15,28.089000,1.570796
1,2048,5,10,15,70.905000,2.094395
2,2048,5,10,15,27.601000,3.141593
1,2048,6,10,15,72.052000,2.516059
2,2048,6,10,15,27.480000,3.141593
1,2048,1,10,150,69.407000,0.523599
2,2048,1,10,150,27.374000,0.785398
1,2048,2,10,150,70.881000,0.783186
2,2048,2,10,150,51.326000,0.785398
1,2048,3,10,150,69.465000,1.047197
2,2048,3,10,150,27.492000,1.570796
1,2048,4,10,150,86.155000,1.566371
2,2048,4,10,150,54.361000,1.570796
1,2048,5,10,150,72.461000,2.094395
2,2048,5,10,150,50.377000,3.141593
1,2048,6,10,150,103.938000,3.132743
2,2048,6,10,150,78.771000,3.141593
1,2048,1,10,1500,70.663000,0.523599
2,2048,1,10,1500,27.579000,0.785398
1,2048,2,10,1500,94.302000,0.785376
2,2048,2,10,1500,78.852000,0.785398
1,2048,3,10,1500,75.555000,1.047197
2,2048,3,10,1500,27.638000,1.570796
1,2048,4,10,1500,71.563000,1.570752
2,2048,4,10,1500,53.781000,1.570796
1,2048,5,10,1500,72.038000,2.094395
2,2048,5,10,1500,29.638000,3.141593
1,2048,6,10,1500,71.023000,3.141504
2,2048,6,10,1500,54.217000,3.204777
1,2048,1,100,15,73.896000,1.429960
2,2048,1,100,15,60.171000,0.785398
1,2048,2,100,15,71.120000,0.975391
2,2048,2,100,15,54.611000,0.785398
1,2048,3,100,15,69.693000,2.859921
2,2048,3,100,15,77.214000,1.570796
1,2048,4,100,15,75.805000,1.950781
2,2048,4,100,15,52.842000,1.570796
1,2048,5,100,15,70.784000,5.719842
2,2048,5,100,15,64.009000,3.141593
1,2048,6,100,15,81.896000,3.901562
2,2048,6,100,15,55.422000,3.141593
1,2048,1,100,150,72.147000,1.429960
2,2048,1,100,150,53.847000,0.785398
1,2048,2,100,150,87.799000,1.451003
2,2048,2,100,150,72.907000,0.785398
1,2048,3,100,150,75.256000,2.859921
2,2048,3,100,150,55.383000,1.570796
1,2048,4,100,150,94.811000,2.902006
2,2048,4,100,150,61.192000,1.570796
1,2048,5,100,150,70.376000,5.719842
2,2048,5,100,150,53.924000,3.141593
1,2048,6,100,150,69.975000,5.804011
2,2048,6,100,150,54.454000,3.141593
1,2048,1,100,1500,70.302000,1.429960
2,2048,1,100,1500,75.874000,0.785398
1,2048,2,100,1500,98.111000,1.470906
2,2048,2,100,1500,54.074000,0.785398
1,2048,3,100,1500,70.053000,2.859921
2,2048,3,100,1500,57.972000,1.570796
1,2048,4,100,1500,78.213000,2.941811
2,2048,4,100,1500,55.527000,1.570796
1,2048,5,100,1500,70.393000,5.719842
2,2048,5,100,1500,54.065000,3.141593
1,2048,6,100,1500,69.840000,5.883623
2,2048,6,100,1500,54.224000,3.204777
1,2048,1,1000,15,71.362000,1.556655
2,2048,1,1000,15,53.767000,0.785398
1,2048,2,1000,15,72.051000,0.982719
2,2048,2,1000,15,67.873000,0.785398
1,2048,3,1000,15,101.695000,3.113310
2,2048,3,1000,15,72.235000,1.570897
1,2048,4,1000,15,101.441000,1.965437
2,2048,4,1000,15,53.841000,1.570897
1,2048,5,1000,15,90.194000,6.226619
2,2048,5,1000,15,64.456000,3.141995
1,2048,6,1000,15,72.220000,3.930875
2,2048,6,1000,15,53.734000,3.141794
1,2048,1,1000,150,98.572000,1.556655
2,2048,1,1000,150,55.078000,0.785398
1,2048,2,1000,150,70.498000,1.503482
2,2048,2,1000,150,53.839000,0.785398
1,2048,3,1000,150,70.308000,3.113310
2,2048,3,1000,150,55.672000,1.570897
1,2048,4,1000,150,72.023000,3.006965
2,2048,4,1000,150,54.623000,1.570897
1,2048,5,1000,150,69.670000,6.226619
2,2048,5,1000,150,54.065000,3.141995
1,2048,6,1000,150,72.882000,6.013930
2,2048,6,1000,150,55.908000,3.141794
1,2048,1,1000,1500,77.362000,1.556655
2,2048,1,1000,1500,81.743000,0.785398
1,2048,2,1000,1500,89.208000,1.558778
2,2048,2,1000,1500,54.464000,0.785398
1,2048,3,1000,1500,81.538000,3.113310
2,2048,3,1000,1500,55.043000,1.570897
1,2048,4,1000,1500,70.508000,3.117556
2,2048,4,1000,1500,67.973000,1.570897
1,2048,5,1000,1500,85.623000,6.226619
2,2048,5,1000,1500,54.485000,3.141995
1,2048,6,1000,1500,69.661000,6.235113
2,2048,6,1000,1500,54.022000,3.204983
