func,samples,boundsType,a,b,time,result
1,512,6,100,15,4.399000,3.901562
2,512,6,100,15,3.134000,3.141592
1,512,1,100,150,4.841000,1.429960
2,512,1,100,150,4.205000,0.785398
1,512,2,100,150,5.097000,1.451003
2,512,2,100,150,3.410000,0.785398
1,512,3,100,150,4.509000,2.859921
2,512,3,100,150,3.339000,1.570796
1,512,4,100,150,4.777000,2.902006
2,512,4,100,150,3.905000,1.570796
1,512,5,100,150,4.393000,5.719842
2,512,5,100,150,3.358000,3.141592
1,512,6,100,150,4.368000,5.804011
2,512,6,100,150,3.478000,3.140008
1,512,1,100,1500,4.383000,1.429960
2,512,1,100,1500,3.407000,0.785398
1,512,2,100,1500,4.360000,1.470883
2,512,2,100,1500,3.362000,0.866104
1,512,3,100,1500,4.380000,2.859921
2,512,3,100,1500,3.623000,1.570796
1,512,4,100,1500,6.451000,2.941765
2,512,4,100,1500,5.186000,1.732208
1,512,5,100,1500,6.487000,5.719842
2,512,5,100,1500,5.189000,3.141592
1,512,6,100,1500,6.467000,5.864241
2,512,6,100,1500,5.103000,6.923647
1,512,1,1000,15,6.460000,1.556655
2,512,1,1000,15,5.061000,0.501900
1,512,2,1000,15,4.499000,0.982719
2,512,2,1000,15,3.322000,0.627847
1,512,3,1000,15,4.585000,3.112637
2,512,3,1000,15,4.062000,1.844922
1,512,4,1000,15,4.941000,1.964765
2,512,4,1000,15,3.354000,2.307885
1,512,5,1000,15,4.411000,6.223960
2,512,5,1000,15,3.394000,6.781697
1,512,6,1000,15,4.365000,3.929530
2,512,6,1000,15,3.362000,4.615770
1,512,1,1000,150,4.449000,1.556655
2,512,1,1000,150,3.388000,0.501900
1,512,2,1000,150,4.351000,1.503482
2,512,2,1000,150,3.392000,0.627847
1,512,3,1000,150,4.388000,3.112637
2,512,3,1000,150,3.423000,1.844922
1,512,4,1000,150,4.465000,3.006292
2,512,4,1000,150,3.372000,2.307885
1,512,5,1000,150,4.396000,6.223960
2,512,5,1000,150,4.469000,6.781697
1,512,6,1000,150,6.456000,6.012584
2,512,6,1000,150,4.969000,4.613442
1,512,1,1000,1500,6.403000,1.556655
2,512,1,1000,1500,4.990000,0.501900
1,512,2,1000,1500,6.557000,1.558755
2,512,2,1000,1500,5.142000,0.692363
1,512,3,1000,1500,6.447000,3.112637
2,512,3,1000,1500,5.171000,1.844922
1,512,4,1000,1500,6.492000,3.116840
2,512,4,1000,1500,5.249000,2.545039
1,512,5,1000,1500,6.482000,6.223960
2,512,5,1000,1500,5.052000,6.781697
1,512,6,1000,1500,6.492000,6.214549
2,512,6,1000,1500,5.074000,10.172536
1,1024,1,10,15,26.080000,0.523599
2,1024,1,10,15,12.368000,0.785398
1,1024,2,10,15,25.851000,0.629015
2,1024,2,10,15,12.548000,0.785398
1,1024,3,10,15,25.967000,1.047198
2,1024,3,10,15,12.090000,1.570796
1,1024,4,10,15,26.021000,1.258030
